,,,prereqs,,positive,start trigger,stop trigger,cost,costfunction,income,incomefunction,,,,,,,,,,,,,,,,,,,,
#,CyberBullying,LAWANDORDER,,icons_cyberbullying,0,0.5,0.4,0,0+(1.0*x),0,0+(1.0*x),"InternetSpeed,0+(0.3*x),3","Technology,0+(0.43*x),8","GeneralMediaCensorship,-0.1-(0.1*x)","InternetCensorship,-0.2-(0.2*x)",#,"Young,-0.05-(0.05*x)","ViolentCrimeRate,0+(0.04*x)","HealthcareDemand,0.01+(0.02*x),4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PrisonOvercrowding,LAWANDORDER,,icons_prisonovercrowding,0,0.65,0.6,0,0+(1.0*x),0,0+(1.0*x),"CrimeRate,0+(1.0*x),2","ViolentCrimeRate,0+(1.0*x),2","Prisons,0-(0.9*x)","PrivatePrisons,0-(0.9*x)",#,"Liberal,-0.1-(0.12*x)","StateEmployees,-0.02-(0.02*x)","CrimeRate,0.04+(0.04*x),2","DrugAddiction,0.04+(0.04*x),8",,,,,,,,,,,
#,Hyperinflation,ECONOMY,,icons_hyperinflation,0,0.7,0.2,0,0+(1.0*x),0,0+(1.0*x),"Stability,-0.06+(0.12*x)",#,"GDP,-0.22-(0.25*x)","BusinessConfidence,-0.65-(0.33*x)","InternationalTrade,-0.2-(0.44*x)","InternetCurrencyAdoption,0.25+(0.27*x)","Capitalist,-0.65-(0.22*x)","CorporateExodus,0.33+(0.37*x)","FoodPrice,0.25+(0.65*x)","_All_,-0.15*(x^1.2)","Stability,-0.12*(x^4)","SelfEmployed,-0.33*(x^1.25),1","Wealthy,-0.65*(x^1.25),","Tourism,-0.75*(x^1.25),1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,EmergencyPowers,LAWANDORDER,,icons_emergency,0,0.95,0.9,0,0+(1.0*x),0,0+(1.0*x),"Hyperinflation,0+(2.0*x)","DebtCrisis,0+(2.0*x)","GeneralStrike,0+(2.0*x)","ClassWarfare,0+(2.0*x)",#,"PoliticalCapital,1.0+(0*x)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,FemaleGenitalMutilation,WELFARE,,icons_femalegenitalmutilation,0,0.1,0.05,0,0+(1.0*x),0,0+(1.0*x),"_default_,0","Education,-2*(x-0.21)^3,16",#,"Health,0-(0.2*x)","Liberal,0-(0.15*x)","Conservatives,0+(0.05*x)",,,,,,,,,,,,,,
#,EndangeredSpecies,FOREIGNPOLICY,,icons_endangeredspecies,1,0.4,0.2,0,0+(1.0*x),0,0+(1.0*x),"_default_,0.15","Environment,0-(1-x)^4,8","CrimeRate,-0.3*(x^2)","GameHunting,0+(x*0.33),4",#,"Tourism,0.3+(0.3*x),8","ForeignAidReceived,0+(1-x)*0.05,8",,,,,,,,,,,,,
#,ForeignIntelligenceInterference,FOREIGNPOLICY,,icons_foreignintelligenceinterference,0,0.6,0.4,0,0+(1.0*x),0,0+(1.0*x),"_default_,0","Stability,-0.5+(x+0.7)^-1.5,8","IntelligenceServices,0-(0.3*x),16",#,"Corruption,0+(0.2*x),4","Patriot,0-(0.3*x)",,,,,,,,,,,,,,
#,PowerBlackouts,PUBLICSERVICES,,icons_powerblackouts,0,0.8,0.6,0,0+(1.0*x),0,0+(1.0*x),"_default_,0","MicrogenerationGrants,0-(x*0.1),8","CleanEnergySubsidies,0-(x*0.1),8","GeneralStrike,0.4+(0.3*x)","Population,0.09*(x^1.1),8","OilDemand,0.07*(x^1.2)","_year,0+(0.01*x)","NuclearFission,-0.22*(x^4),8","EnergyEfficiency,-0.22*(x^2)",#,"GDP,-0.05-(x^6)*0.1","Unemployment,0+(0.1*x),4","Health,-0.05-(x^6)*0.1","Education,-0.05-(x^6)*0.1,12","_All_,0-(0.2*x)",,,,,
#,HIVAIDS,WELFARE,,icons_hivaids,0,0.1,0.04,0,0+(1.0*x),0,0+(1.0*x),"_default_,0","Education,0.1-(x^1.5)*0.4,32","StateHealthService,0-(x^1.5)*0.3,32","PrivateHealthcare,0-(x^1.5)*0.3,32","ForeignAidReceived,0-(x^3)*0.5,32","ViolentCrimeRate,0+(0.2*x)","LegaliseProstitution,0-(0.15*x),16",#,"Health,0-(1*x)","Retired_freq,0-(x*0.5),16","_All_,0-(0.5*x)","HealthcareDemand,0.05-(0.10*x)",,,,,,,,
#,Malaria,WELFARE,,icons_malaria,0,0.1,0.04,0,0+(1.0*x),0,0+(1.0*x),"_default_,0","Education,0-(x^1.5)*0.1,16","StateHealthService,0-(x^1.5)*0.2,16","PrivateHealthcare,0-(x^1.5)*0.2,16","ForeignAidReceived,0-(x^3)*0.18,16","Homelessness,0.1*(x^2)","PovertyRate,0.1*(x^2)",#,"Tourism,-0.1-(0.1*x)","Health,0-(1*x)","Retired_freq,0-(x*0.5),16","_All_,0-(0.3*x)","HealthcareDemand,0.05-(0.10*x)",,,,,,,
#,MineralWealth,ECONOMY,,icons_mineralwealth,1,0.1,0.01,0,0+(1.0*x),0,0+(1.0*x),"_default_,0","_year,0-(0.02*x)*MineralWealth",#,"GDP,0.377*(_globaleconomy_*x),4","Environment,0-(0.2*x),16","Environmentalist,0-(0.15*x)","Farmers,0-(0.15*x)",,,,,,,,,,,,,
#,OilWealth,ECONOMY,,icons_oilwealth,1,0.1,0.01,0,0+(1.0*x),0,0+(1.0*x),"_default_,0","_year,0-(0.02*x)*OilWealth",#,"GDP,0.377*(_globaleconomy_*x),4","OilSupply,0.2*(1-Corruption)*x","Environment,0-(0.4*x),16","Environmentalist,0-(0.3*x)","Farmers,0-(0.2*x)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Polarization,LAWANDORDER,,sit_icons_polarization,0,0.6,0.4,0,0+(1.0*x),0,0+(1.0*x),"_default_,0.185","FakeNews,0.85*(x^1.5),2","StateBroadcaster,-0.1-(0.1*x),4","PressFreedom,0.1-(0.2*x)","Stability,0.5*(1-x)^4","GenerationalWealthGap,0.125*(x^2),8",#,,,,,,,,,,,,,
#,FakeNews,LAWANDORDER,,sit_icons_fakenews,0,0.6,0.4,0,0+(1.0*x),0,0+(1.0*x),"_default_,0.125","InternetSpeed,0.95*(x^2),2","Education,-0.6*(x^2),8","ForeignRelations,0.5*(1-x)^8,2","Stability,0.5*(1-x)^5,2","Technology,0+(0.35*x),4","StateBroadcaster,-0.03-(0.07*x),4","InternetCensorship,-0.05-(0.25*x)",#,"ContagiousDisease,0.02+(0.02*x)","RacialTension,0.02+(0.02*x)","ViolentCrimeRate,0.05*(x^4),1","Democracy,-0.05-(0.05*x),4",,,,,,,
#,PrivateSpaceProgram,ECONOMY,,sit_icons_space,1,0.65,0.5,0,0+(1.0*x),0,0+(1.0*x),"GDP,0.09*(x^4),8","Technology,0.25*(x^4),9","Education,0.17*(x^3),16","ScienceFunding,0.2*(x^2),12","BusinessConfidence,0+(0.09*x),8","Stability,0+(0.16*x),12","MilitarySpending,0.24*(x^4),6","IntelligenceServices,0.12*(x^4),8",#,"GDP,0.02+(0.03*x),8","Patriot,0.05+(0.05*x)","_All_,0.02+(0.02*x)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,NorthWestPassage,FOREIGNPOLICY,_prereq_canada,sit_icons_nwpassage,1,0.1,0,0,0+(1.0*x),0,0+(1.0*x),"AverageTemperature,0.1+(0.8*x)",#,"InternationalTrade,0.4+(0.6*x)",,,,,,,,,,,,,,,,,
#,IllegalImmigrationCrisis,FOREIGNPOLICY,,sit_icons_illegalimmigration,0,0.3,0.2,0,0+(1.0*x),0,0+(1.0*x),"IllegalImmigration,1.0*(x^1.55)",#,"Patriot,-0.05-(0.15*x)","Conservatives,-0.12-(0.13*x)","Organised Crime,0.11*(x^1.4),2","_global_liberalism,-0.07*(x^2),2","RacialTension,0.09*(x^2),2",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,NorthKorea,FOREIGNPOLICY,_prereq_southkorea,sit_icons_northkorea,0,0.25,0.2,0,0+(1.0*x),0,0+(1.0*x),"_default_,1","ForeignRelations,0-(0.12*x),4","MilitarySpending,0-(0.4*x),4",#,"Patriot_freq,0+(0.12*x)","Stability,-0.15*(x^2)","CyberWarfare,0.18*(x^2)","_All_,-0.12*(x^3)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,EUContribution,FOREIGNPOLICY,_prereq_eu,sit_icons_eu,0,0.011,-1,2250,0+(1.0*x),0,0+(1.0*x),"ForeignRelations,0-(0.1*x),4",#,"Patriot_freq,-0.05-(0*x)","Patriot,-0.05-(0*x)","InternationalTrade,0.1+(0*x)","Stability,0+(0.1*x)","ForeignInvestment,0+(0.1*x)",,,,,,,,,,,,,
#,EUSubsidies,FOREIGNPOLICY,_prereq_eu,sit_icons_eu,1,0.011,-1,0,0+(1.0*x),2250,0+(1.0*x),"GDP,-0.19*(x^3.2),4","ForeignRelations,0+(0.1*x),4",#,"Patriot_freq,-0.05-(0*x)","Patriot,-0.05-(0*x)","InternationalTrade,0.1+(0*x)","Stability,0+(0.1*x)","ForeignInvestment,0+(0.1*x)",,,,,,,,,,,,
#,EUMonetaryPolicy,ECONOMY,_prereq_eu,sit_icons_eu_monetary_policy,1,0.011,-1,0,0+(1.0*x),0,0+(1.0*x),"EUContribution,0.5+(0*x),4","EUSubsidies,0.5+(0*x),4",#,"Inflation,0.78*(x^4),8","Capitalist,0.12+(0.08*x)","Wealthy,0.1+(0.1*x)","_HighIncome,0.05+(0.05*x)","GDP,0.05+(0.06*x),1","CurrencyStrength,-0.08*(x^2)",,,,,,,,,,,
#,Monarchy,FOREIGNPOLICY,_prereq_uk,sit_icons_monarchy,1,0.1,-1,10,0+(1.0*x),0,0+(1.0*x),"_default_,0.5",#,"Tourism,0.05+(0*x)","ForeignRelations,0+(0.08*x)","Democracy,-0.03-(0*x)","Equality,-0.03-(0*x)","Stability,0.05+(0*x)",,,,,,,,,,,,,
#,Erasmus,FOREIGNPOLICY,_prereq_eu,sit_icons_erasmus,1,0.011,-1,0,0+(1.0*x),0,0+(1.0*x),"EUContribution,0.5+(0*x)","EUSubsidies,0.5+(0*x)",,#,"Young,0+(0.12*x)","Young_income,0+(0.05*x)","Education,0+(0.04*x)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,MediaMonopolies,ECONOMY,,sit_icons_mediamonopoly,0,0.6,0.4,0,0+(1.0*x),0,0+(1.0*x),"_default_,0.78","PressFreedom,-0.12*(x^1.2),8","competitionlaw,-0.14*(x^1.24),4","InternetSpeed,-0.11*(x^1.24),4","StateBroadcaster,0-(0.14*x),2",#,"FakeNews,0.08+(0.12*x)","_global_liberalism,-0.06-(0.06*x),16","Democracy,0-(0.05*x)",,,,,,,,,,,
#,Bureaucracy,ECONOMY,,sit_icons_bureaucracy,0,0.4,0.35,0,0+(1.0*x),0,0+(1.0*x),"_default_,0",#,"Capitalist,-0.02-(0.06*x)","SelfEmployed,-0.05-(0.1*x)","WorkerProductivity,-0.02-(0.06*x)","ForeignInvestment,-0.02-(0.03*x)","GDP,-0.01-(0.02*x)","BrainDrain,0.03+(0.03*x),2","CorporateExodus,0.03+(0.04*x),4",,,,,,,,,,,
#,SocialMediaAddiction,PUBLICSERVICES,,sit_icons_socialmediaaddiction,0,0.6,0.4,0,0+(1.0*x),0,0+(1.0*x),"GDP,0.35*(x^3),4","Technology,0.35*(x^3),4","InternetSpeed,0.25*(x^2),4",#,"MentalHealth,-0.05-(0.12*x),2","WorkerProductivity,0-(0.08*x)","Education,-0.02-(0.03*x),4","_All_,-0.02-(0.03*x),2",,,,,,,,,,,,
